County,State,Outbreak Date,Flock Type,Species Name,Birds Affected,Flock Size
Sanpete,Utah,11/27/2024,Commercial Turkey Meat Bird,Turkey,"51,800",51800
Jefferson,Wisconsin,3/14/2022,Commercial Table Egg Layer,Chicken,"2,750,700",2750700
Canyon,Idaho,5/17/2022,WOAH Non-Poultry,Chicken,50,50
Sequoyah,Oklahoma,4/30/2022,Commercial Broiler Breeder,Chicken,"13,800",13800
Clackamas,Oregon,10/23/2024,Commercial Table Egg Layer,Chicken,"150,000",150000
Roosevelt,New Mexico,4/15/2024,Commercial Breeder (Multiple Bird Species),Chicken,"15,900",15900
Cumberland,Pennsylvania,2/5/2025,Commercial Broiler Production,Chicken,"26,400",26400
Stearns,Minnesota,9/13/2022,Commercial Turkey Meat Bird,Turkey,"69,400",69400
Traill,North Dakota,10/18/2022,WOAH Non-Poultry,Chicken,90,90
Ada,Idaho,5/11/2022,WOAH Non-Poultry,Chicken,4,4
Rockingham,Virginia,1/25/2023,Commercial Turkey Meat Bird,Turkey,"11,100",11100
Allegheny,Pennsylvania,11/2/2022,WOAH Non-Poultry,Chicken,20,20
Jackson,Oregon,11/1/2024,WOAH Non-Poultry,Goose,60,60
Posey,Indiana,5/5/2023,WOAH Non-Poultry,Chicken,20,20
Orleans,New York,4/5/2022,WOAH Poultry,Chicken,30,30
Sonoma,California,12/19/2023,Commercial Duck Meat Bird,Duck,"3,600",3600
Ulster,New York,1/27/2025,WOAH Non-Poultry,Poultry,60,60
Sanpete,Utah,10/25/2022,Commercial Turkey Meat Bird,Turkey,"3,900",3900
Fresno,California,9/15/2022,Commercial Broiler Breeder,Chicken,"15,900",15900
Northampton,Pennsylvania,8/11/2022,WOAH Poultry,Poultry,90,90
Warren,Iowa,3/20/2022,WOAH Non-Poultry,Chicken,10,10
Hutchinson,South Dakota,3/25/2022,Commercial Turkey Meat Bird,Turkey,"45,800",45800
Coffey,Kansas,12/27/2024,WOAH Non-Poultry,Chicken,50,50
Jackson,Michigan,12/31/2024,WOAH Non-Poultry,Chicken,9,9
Lamoure,North Dakota,4/14/2022,WOAH Non-Poultry,Chicken,10,10
Osceola,Iowa,3/31/2022,Commercial Table Egg Layer,Chicken,"5,011,700",5011700
Arkansas,Arkansas,12/1/2022,WOAH Non-Poultry,Poultry,20,20
Broward,Florida,11/17/2022,WOAH Non-Poultry,Chicken,20,20
Mcpherson,South Dakota,3/31/2022,Commercial Turkey Breeder Hens,Turkey,"26,000",26000
Broward,Florida,11/21/2023,WOAH Non-Poultry,Chicken,5,5
Beadle,South Dakota,12/10/2024,Commercial Turkey Meat Bird,Turkey,"52,200",52200
Union,New Jersey,9/15/2023,Live Bird Market,Poultry,520,520
Yuma,Colorado,3/28/2023,WOAH Poultry,Multiple Poultry Species,310,310
Guthrie,Iowa,10/24/2023,WOAH Non-Poultry,Multiple Poultry Species,50,50
Sac,Iowa,12/12/2024,Commercial Turkey Meat Bird,Turkey,"45,200",45200
Sanpete,Utah,9/27/2022,Commercial Turkey Meat Bird,Turkey,"36,700",36700
San Benito,California,11/30/2023,Commercial Duck Breeder,Duck,"5,000",5000
Southampton,Virginia,10/22/2022,WOAH Non-Poultry,Duck,170,170
Sonoma,California,12/28/2023,Commercial Table Egg Layer,Chicken,"52,400",52400
Utah,Utah,12/3/2024,WOAH Non-Poultry,Multiple Poultry Species,30,30
Franklin,Idaho,12/10/2024,WOAH Non-Poultry,Chicken,40,40
Lancaster,Pennsylvania,2/23/2023,WOAH Poultry,Multiple Poultry Species,"2,000",2000
Weakley,Tennessee,12/21/2022,WOAH Poultry,Chicken,"28,800",28800
Lapeer,Michigan,11/10/2022,WOAH Poultry,Pheasant,990,990
Kings,New York,8/3/2023,Live Bird Market,Poultry,800,800
Cook,Illinois,1/22/2025,WOAH Poultry,Chicken,500,500
Barton,Kansas,12/19/2023,WOAH Non-Poultry,Chicken,70,70
Rice,Kansas,12/13/2023,Commercial Table Egg Layer,Chicken,"700,000",700000
Stoddard,Missouri,3/4/2022,Commercial Broiler Production,Chicken,"294,800",294800
Lehigh,Pennsylvania,1/28/2025,WOAH Poultry,Chicken,"47,900",47900
Stanislaus,California,12/24/2024,Commercial Table Egg Layer,Chicken,"392,100",392100
Deschutes,Oregon,12/19/2024,WOAH Non-Poultry,Multiple Poultry Species,90,90
Franklin,Washington,1/24/2025,Commercial Table Egg Layer,Chicken,"307,800",307800
Franklin,Washington,12/14/2022,Commercial Table Egg Layer,Chicken,"1,015,500",1015500
Calaveras,California,10/3/2022,WOAH Non-Poultry,Chicken,20,20
Redwood,Minnesota,12/14/2022,WOAH Non-Poultry,Chicken,40,40
Franklin,Kansas,3/11/2022,WOAH Poultry,Chicken,260,260
Wagoner,Oklahoma,10/31/2023,WOAH Non-Poultry,Chicken,50,50
Lewis And Clark,Montana,11/30/2023,WOAH Non-Poultry,Chicken,6,6
Clay,Florida,4/30/2024,WOAH Non-Poultry,Duck,20,20
Dade,Missouri,12/8/2022,WOAH Non-Poultry,Chicken,30,30
Gallatin,Montana,4/29/2022,WOAH Non-Poultry,Poultry,20,20
Craighead,Arkansas,12/20/2024,WOAH Non-Poultry,Chicken,50,50
Berks,Pennsylvania,10/5/2022,WOAH Non-Poultry,Chicken,10,10
Merced,California,10/26/2023,Commercial Turkey Meat Bird,Turkey,"31,600",31600
Snohomish,Washington,6/9/2022,WOAH Non-Poultry,Chicken,30,30
Lawrence,Missouri,3/9/2022,Commercial Turkey Breeder Replacement Hens,Turkey,"37,800",37800
Lancaster,Pennsylvania,3/14/2023,WOAH Poultry,Duck,"3,000",3000
Sanpete,Utah,10/18/2022,Commercial Turkey Meat Bird,Turkey,"100,800",100800
Ada,Idaho,5/24/2022,WOAH Non-Poultry,Chicken,30,30
Nemaha,Nebraska,12/6/2024,Commercial Turkey Breeder Hens,Turkey,"12,400",12400
Kingsbury,South Dakota,12/7/2022,WOAH Non-Poultry,Chicken,70,70
Hillsborough,Florida,1/14/2025,Live Bird Market,Chicken,280,280
Bayfield,Wisconsin,5/23/2022,WOAH Non-Poultry,Chicken,40,40
Mcpherson,South Dakota,12/3/2024,Commercial Turkey Meat Bird,Turkey,"78,200",78200
Edmunds,South Dakota,11/20/2023,Commercial Turkey Meat Bird,Turkey,"33,400",33400
Otter Tail,Minnesota,9/21/2022,Commercial Turkey Meat Bird,Turkey,"5,900",5900
Weld,Colorado,7/16/2024,Commercial Table Egg Layer,Chicken,"1,313,800",1313800
